proof_system,alg,parties,net,size,trial,time
marlin,gsz,3,lan,8192,0,7.038
plonk,gsz,3,lan,4096,2,9.194
plonk,gsz,3,lan,4096,1,9.322000000000001
plonk,gsz,3,lan,4096,0,9.220666666666666
marlin,spdz,3,lan,4096,2,7.027
plonk,local,1,cohost,4096,2,8.48
plonk,local,1,cohost,4096,1,8.51
plonk,local,1,cohost,4096,0,8.52
marlin,local,1,cohost,8192,2,7.318
marlin,local,1,cohost,8192,0,7.328
marlin,local,1,cohost,8192,1,7.396
marlin,spdz,2,lan,4096,1,7.06
marlin,spdz,2,lan,4096,2,7.1015
marlin,spdz,2,lan,4096,0,7.141
marlin,spdz,3,lan,4096,1,7.107
marlin,spdz,3,lan,4096,0,7.126
plonk,spdz,3,lan,2048,1,9.511666666666665
plonk,spdz,3,lan,2048,2,9.572666666666668
plonk,spdz,3,lan,2048,0,9.559333333333333
groth16,gsz,3,lan,16384,2,3.596
plonk,spdz,2,lan,2048,2,9.453
groth16,local,1,cohost,16384,0,3.389
groth16,local,1,cohost,16384,1,3.402
groth16,local,1,cohost,16384,2,3.438
groth16,gsz,3,lan,16384,1,3.594
plonk,spdz,2,lan,2048,0,9.499500000000001
plonk,spdz,2,lan,2048,1,9.5545
groth16,spdz,3,lan,8192,2,3.709
groth16,spdz,2,lan,8192,2,3.71
groth16,gsz,3,lan,16384,0,3.6839999999999997
groth16,spdz,3,lan,8192,1,3.727
groth16,spdz,2,lan,8192,1,3.739
groth16,spdz,2,lan,8192,0,3.773
groth16,spdz,3,lan,8192,0,3.718
marlin,gsz,3,lan,4096,2,3.781
marlin,gsz,3,lan,4096,1,3.813
plonk,gsz,3,lan,2048,2,5.148666666666667
plonk,gsz,3,lan,2048,1,5.144
marlin,gsz,3,lan,4096,0,3.76
marlin,local,1,cohost,4096,2,3.96
marlin,local,1,cohost,4096,1,3.95
marlin,local,1,cohost,4096,0,3.938
plonk,local,1,cohost,2048,2,4.688
plonk,gsz,3,lan,2048,0,5.094333333333334
plonk,local,1,cohost,2048,1,4.688
plonk,local,1,cohost,2048,0,4.685
marlin,spdz,3,lan,2048,2,3.889
marlin,spdz,2,lan,2048,2,3.862
marlin,spdz,2,lan,2048,1,3.881
marlin,spdz,2,lan,2048,0,3.909
marlin,spdz,3,lan,2048,1,3.908
marlin,spdz,3,lan,2048,0,3.904333333333333
plonk,spdz,3,lan,1024,1,5.707
plonk,spdz,3,lan,1024,2,5.693666666666666
plonk,spdz,3,lan,1024,0,5.667999999999999
plonk,spdz,2,lan,1024,2,5.668
groth16,gsz,3,lan,8192,2,1.9560000000000002
plonk,spdz,2,lan,1024,1,5.6625
groth16,gsz,3,lan,8192,1,1.945
plonk,spdz,2,lan,1024,0,5.6575
groth16,local,1,cohost,8192,2,1.821
groth16,local,1,cohost,8192,1,1.829
groth16,local,1,cohost,8192,0,1.815
groth16,gsz,3,lan,8192,0,1.9373333333333334
groth16,spdz,3,lan,4096,2,2.079
groth16,spdz,2,lan,4096,2,2.066
groth16,spdz,3,lan,4096,1,2.083
groth16,spdz,2,lan,4096,1,2.07
groth16,spdz,2,lan,4096,0,2.075
groth16,spdz,3,lan,4096,0,2.078
marlin,gsz,3,lan,2048,2,2.106333333333333
marlin,gsz,3,lan,2048,1,2.114
plonk,gsz,3,lan,1024,2,3.076
plonk,gsz,3,lan,1024,1,3.041
marlin,gsz,3,lan,2048,0,2.104
marlin,local,1,cohost,2048,1,2.2
marlin,local,1,cohost,2048,2,2.196
marlin,local,1,cohost,2048,0,2.21
marlin,spdz,2,lan,1024,2,2.206
plonk,gsz,3,lan,1024,0,3.0669999999999997
marlin,spdz,3,lan,1024,2,2.222
marlin,spdz,3,lan,1024,1,2.222
plonk,local,1,cohost,1024,2,2.792
plonk,local,1,cohost,1024,1,2.795
plonk,local,1,cohost,1024,0,2.794
marlin,spdz,3,lan,1024,0,2.215
marlin,spdz,2,lan,1024,0,2.204
marlin,spdz,2,lan,1024,1,2.206
plonk,spdz,3,lan,512,2,3.1780000000000004
plonk,spdz,3,lan,512,1,3.175666666666667
groth16,local,1,cohost,4096,2,1.019
groth16,local,1,cohost,4096,1,1.018
plonk,spdz,3,lan,512,0,3.1703333333333332
groth16,local,1,cohost,4096,0,1.022
plonk,spdz,2,lan,512,2,3.171
plonk,spdz,2,lan,512,0,3.151
plonk,spdz,2,lan,512,1,3.1555
groth16,gsz,3,lan,4096,2,1.103
groth16,gsz,3,lan,4096,1,1.094
groth16,gsz,3,lan,4096,0,1.102
groth16,spdz,2,lan,2048,2,1.28
groth16,spdz,2,lan,2048,1,1.277
groth16,spdz,2,lan,2048,0,1.278
groth16,spdz,3,lan,2048,2,1.295
groth16,spdz,3,lan,2048,0,1.2863333333333333
groth16,spdz,3,lan,2048,1,1.295
marlin,gsz,3,lan,1024,2,1.205
marlin,gsz,3,lan,1024,1,1.21
marlin,local,1,cohost,1024,1,1.254
marlin,local,1,cohost,1024,2,1.255
marlin,local,1,cohost,1024,0,1.251
plonk,gsz,3,lan,512,2,1.7366666666666666
plonk,gsz,3,lan,512,1,1.7249999999999999
marlin,gsz,3,lan,1024,0,1.235
plonk,local,1,cohost,512,2,1.552
plonk,local,1,cohost,512,1,1.552
plonk,local,1,cohost,512,0,1.558
plonk,gsz,3,lan,512,0,1.7550000000000001
marlin,spdz,2,lan,512,2,1.271
marlin,spdz,3,lan,512,2,1.291
marlin,spdz,2,lan,512,0,1.266
marlin,spdz,2,lan,512,1,1.27
marlin,spdz,3,lan,512,0,1.277
marlin,spdz,3,lan,512,1,1.278
plonk,spdz,3,lan,256,1,1.8026666666666664
plonk,spdz,3,lan,256,2,1.805
plonk,spdz,3,lan,256,0,1.8103333333333333
plonk,spdz,2,lan,256,2,1.7805
groth16,local,1,cohost,2048,0,0.6272770000000001
groth16,local,1,cohost,2048,1,0.626706
groth16,local,1,cohost,2048,2,0.625178
plonk,spdz,2,lan,256,1,1.7845
plonk,spdz,2,lan,256,0,1.78
groth16,gsz,3,lan,2048,2,0.6973663333333334
groth16,gsz,3,lan,2048,1,0.6957369999999999
groth16,gsz,3,lan,2048,0,0.6938700000000001
groth16,spdz,2,lan,1024,2,0.7115960000000001
groth16,spdz,2,lan,1024,1,0.7172540000000001
groth16,spdz,2,lan,1024,0,0.7136895000000001
groth16,spdz,3,lan,1024,2,0.7204760000000001
groth16,spdz,3,lan,1024,1,0.7237366666666666
groth16,spdz,3,lan,1024,0,0.7240713333333334
marlin,gsz,3,lan,512,2,0.7042989999999999
marlin,gsz,3,lan,512,1,0.70946
marlin,local,1,cohost,512,1,0.716953
marlin,local,1,cohost,512,0,0.717228
marlin,local,1,cohost,512,2,0.721289
plonk,gsz,3,lan,256,2,1.015
marlin,gsz,3,lan,512,0,0.7094113333333333
plonk,gsz,3,lan,256,1,1.0519999999999998
marlin,spdz,3,lan,256,2,0.7569516666666667
plonk,gsz,3,lan,256,0,1.0143333333333333
plonk,local,1,cohost,256,2,0.8720019999999999
plonk,local,1,cohost,256,0,0.871557
plonk,local,1,cohost,256,1,0.8703200000000001
marlin,spdz,2,lan,256,2,0.7462044999999999
marlin,spdz,2,lan,256,1,0.7443875
marlin,spdz,2,lan,256,0,0.751356
marlin,spdz,3,lan,256,1,0.7571916666666666
marlin,spdz,3,lan,256,0,0.7575553333333334
plonk,spdz,3,lan,128,2,1.1866666666666668
plonk,spdz,2,lan,128,2,1.1724999999999999
plonk,spdz,3,lan,128,1,1.2056666666666667
